id,Street,City and Zip,Full address,Latitude,Longitude,key_id
223,118 Hicks Ave,"Crescent City, FL, 32112","118 Hicks Ave,Crescent City, FL, 32112",29.416321,-81.646035,223
224,127 St Johns Ct,"Satsuma, FL, 32189","127 St Johns Ct,Satsuma, FL, 32189",29.576298,-81.67819,224
225,139 Paradise Dr,"Welaka, FL, 32193","139 Paradise Dr,Welaka, FL, 32193",29.491934,-81.679971,225
226,160 Moonlite Dr,"Welaka, FL, 32193","160 Moonlite Dr,Welaka, FL, 32193",29.491935,-81.68075,226
227,133 Paradise Dr,"Welaka, FL, 32193","133 Paradise Dr,Welaka, FL, 32193",29.492569,-81.679535,227
228,113 St Johns Ct,"Satsuma, FL, 32189","113 St Johns Ct,Satsuma, FL, 32189",29.577097,-81.677547,228
229,175 Moonlite Dr,"Welaka, FL, 32193","175 Moonlite Dr,Welaka, FL, 32193",29.491329,-81.681475,229
230,98 Happiness Dr,"Welaka, FL, 32193","98 Happiness Dr,Welaka, FL, 32193",29.492019,-81.678276,230
231,184 Sportsman Dr,"Welaka, FL, 32193","184 Sportsman Dr,Welaka, FL, 32193",29.491719,-81.68244,231
232,350 Peniel Church Rd,"Palatka, FL, 32177","350 Peniel Church Rd,Palatka, FL, 32177",29.60082,-81.698491,232
233,142 Sesame St,"Palatka, FL, 32177","142 Sesame St,Palatka, FL, 32177",29.590465,-81.696354,233
234,60 Carefree Dr,"Welaka, FL, 32193","60 Carefree Dr,Welaka, FL, 32193",29.490594,-81.677818,234
235,63 Carefree Dr,"Welaka, FL, 32193","63 Carefree Dr,Welaka, FL, 32193",29.490985,-81.677609,235
236,30 Scott St,"Welaka, FL, 32193","30 Scott St,Welaka, FL, 32193",29.49106,-81.67627,236
237,205 Hermits Dr,"Satsuma, FL, 32189","205 Hermits Dr,Satsuma, FL, 32189",29.579955,-81.674078,237
238,156 Beechers Point Dr,"Welaka, FL, 32193","156 Beechers Point Dr,Welaka, FL, 32193",29.467577,-81.683806,238
239,357 E Buffalo Bluff Rd,"Satsuma, FL, 32189","357 E Buffalo Bluff Rd,Satsuma, FL, 32189",29.587758,-81.680169,239
240,37 Scott St,"Welaka, FL, 32193","37 Scott St,Welaka, FL, 32193",29.491009,-81.676879,240
241,259 Hermits Dr,"Satsuma, FL, 32189","259 Hermits Dr,Satsuma, FL, 32189",29.580075,-81.676896,241
242,162 Beechers Point Dr,"Welaka, FL, 32193","162 Beechers Point Dr,Welaka, FL, 32193",29.467475,-81.68436,242
243,209 Hermits Dr,"Satsuma, FL, 32189","209 Hermits Dr,Satsuma, FL, 32189",29.580111,-81.674157,243
244,211 Hermits Dr,"Satsuma, FL, 32189","211 Hermits Dr,Satsuma, FL, 32189",29.58036,-81.674349,244
245,137 St Johns Ct,"Satsuma, FL, 32189","137 St Johns Ct,Satsuma, FL, 32189",29.57572,-81.678642,245
246,110 W Palm Ave,"Crescent City, FL, 32112","110 W Palm Ave,Crescent City, FL, 32112",29.416947,-81.645451,246
247,140 Paradise Dr,"Welaka, FL, 32193","140 Paradise Dr,Welaka, FL, 32193",29.491802,-81.680017,247
248,213 Sportsman Dr,"Welaka, FL, 32193","213 Sportsman Dr,Welaka, FL, 32193",29.491257,-81.682773,248
249,142 Beechers Point Dr,"Welaka, FL, 32193","142 Beechers Point Dr,Welaka, FL, 32193",29.467863,-81.682777,249
250,778 National Forest Dr 75G,"Palatka, FL, 32177","778 National Forest Dr 75G,Palatka, FL, 32177",29.419061,-81.657073,250
251,122 Shaffer Ave,"Crescent City, FL, 32112","122 Shaffer Ave,Crescent City, FL, 32112",29.419344,-81.647245,251
252,173 Moonlite Dr,"Welaka, FL, 32193","173 Moonlite Dr,Welaka, FL, 32193",29.49159,-81.681328,252
253,103 Happiness Dr,"Welaka, FL, 32193","103 Happiness Dr,Welaka, FL, 32193",29.491879,-81.678902,253
254,126 Paradise Dr,"Welaka, FL, 32193","126 Paradise Dr,Welaka, FL, 32193",29.491859,-81.679582,254
255,158 Moonlite Dr,"Welaka, FL, 32193","158 Moonlite Dr,Welaka, FL, 32193",29.491735,-81.680818,255
256,9 Hockey Dr,"Welaka, FL, 32193","9 Hockey Dr,Welaka, FL, 32193",29.490205,-81.675949,256
257,144 Hicks Ave,"Crescent City, FL, 32112","144 Hicks Ave,Crescent City, FL, 32112",29.417357,-81.649033,257
258,136 Beechers Point Dr,"Welaka, FL, 32193","136 Beechers Point Dr,Welaka, FL, 32193",29.468103,-81.68222,258
259,172 Moonnlite Dr,"Welaka, FL, 32193","172 Moonnlite Dr,Welaka, FL, 32193",29.491707,-81.681289,259
260,121 Teronda Rd,"Welaka, FL, 32193","121 Teronda Rd,Welaka, FL, 32193",29.465373,-81.676323,260
261,5 Hockey Dr,"Welaka, FL, 32193","5 Hockey Dr,Welaka, FL, 32193",29.490818,-81.675687,261
262,148 Floridian Club Rd,"Welaka, FL, 32193","148 Floridian Club Rd,Welaka, FL, 32193",29.492881,-81.678546,262
263,108 William Bartram Dr,"Crescent City, FL, 32112","108 William Bartram Dr,Crescent City, FL, 32112",29.431094,-81.651037,263
264,124 Paradise Dr,"Welaka, FL, 32193","124 Paradise Dr,Welaka, FL, 32193",29.491499,-81.679722,264
265,87 Happiness Dr,"Welaka, FL, 32193","87 Happiness Dr,Welaka, FL, 32193",29.490547,-81.679008,265
266,163 Beechers Point Dr,"Welaka, FL, 32193","163 Beechers Point Dr,Welaka, FL, 32193",29.467006,-81.684311,266
267,1 Palmetto St,"Welaka, FL, 32193","1 Palmetto St,Welaka, FL, 32193",29.479228,-81.674704,267
268,106 William Bartram Dr,"Crescent City, FL, 32112","106 William Bartram Dr,Crescent City, FL, 32112",29.431026,-81.650755,268
269,154 Beechers Point Dr,"Welaka, FL, 32193","154 Beechers Point Dr,Welaka, FL, 32193",29.467618,-81.683619,269
270,124 Beechers Point Dr,"Welaka, FL, 32193","124 Beechers Point Dr,Welaka, FL, 32193",29.468565,-81.68129,270
271,133 Buchanan Cir,"Satsuma, FL, 32189","133 Buchanan Cir,Satsuma, FL, 32189",29.573121,-81.678761,271
272,809 Front St ,"Welaka, FL, 32193","809 Front St ,Welaka, FL, 32193",29.476583,-81.674552,272
273,203 Woodbury Trl,"Satsuma, FL, 32189","203 Woodbury Trl,Satsuma, FL, 32189",29.590231,-81.682709,273
274,1235 County Road 309,"Crescent City, FL, 32112","1235 County Road 309,Crescent City, FL, 32112",29.41497,-81.645136,274
275,146 Hicks Ave,"Crescent City, FL, 32112","146 Hicks Ave,Crescent City, FL, 32112",29.417474,-81.649281,275
276,29 Scott St,"Welaka, FL, 32193","29 Scott St,Welaka, FL, 32193",29.49086,-81.676427,276
277,227 Hermits Dr,"Satsuma, FL, 32189","227 Hermits Dr,Satsuma, FL, 32189",29.581166,-81.675056,277
278,116 William Bartram Dr,"Crescent City, FL, 32112","116 William Bartram Dr,Crescent City, FL, 32112",29.431178,-81.652029,278
279,186 Sportsman Dr,"Welaka, FL, 32193","186 Sportsman Dr,Welaka, FL, 32193",29.49196,-81.682556,279
280,135 Paradise Dr,"Welaka, FL, 32193","135 Paradise Dr,Welaka, FL, 32193",29.492475,-81.679767,280
281,209 Sportsman Dr,"Welaka, FL, 32193","209 Sportsman Dr,Welaka, FL, 32193",29.491887,-81.683103,281
282,210 Sportsman Dr,"Welaka, FL, 32193","210 Sportsman Dr,Welaka, FL, 32193",29.491737,-81.683064,282
283,208 Sportsman Dr,"Welaka, FL, 32193","208 Sportsman Dr,Welaka, FL, 32193",29.491987,-81.683203,283
284,149 Buchanan Cir,"Satsuma, FL, 32189","149 Buchanan Cir,Satsuma, FL, 32189",29.574824,-81.679123,284
285,229 Sportsman Dr,"Welaka, FL, 32193","229 Sportsman Dr,Welaka, FL, 32193",29.489991,-81.68088,285
286,1075 Front St,"Welaka, FL, 32193","1075 Front St,Welaka, FL, 32193",29.465311,-81.673759,286
287,104 River Bend Ct Bldg A,"Welaka, FL, 32193","104 River Bend Ct Bldg A,Welaka, FL, 32193",29.466074,-81.684747,287
288,104 William Bartram Dr,"Crescent City, FL, 32112","104 William Bartram Dr,Crescent City, FL, 32112",29.430825,-81.650416,288
289,28 Scott St,"Welaka, FL, 32193","28 Scott St,Welaka, FL, 32193",29.490747,-81.676496,289
290,104 National Forest Rd 29,"Palatka, FL, 32177","104 National Forest Rd 29,Palatka, FL, 32177",29.424449,-81.666241,290
291,325 E Buffalo Bluff Rd,"Satsuma, FL, 32189","325 E Buffalo Bluff Rd,Satsuma, FL, 32189",29.584461,-81.678974,291
292,251 Hermits Dr,"Satsuma, FL, 32189","251 Hermits Dr,Satsuma, FL, 32189",29.580321,-81.676415,292
293,122 William Bartram Dr,"Crescent City, FL, 32112","122 William Bartram Dr,Crescent City, FL, 32112",29.431114,-81.652602,293
294,118 Paradise Dr,"Welaka, FL, 32193","118 Paradise Dr,Welaka, FL, 32193",29.49078,-81.68015,294
295,120 Rogers Ln,"Palatka, FL, 32177","120 Rogers Ln,Palatka, FL, 32177",29.583809,-81.696871,295
296,108 Dexter Ct,"Crescent City, FL, 32112","108 Dexter Ct,Crescent City, FL, 32112",29.432488,-81.651853,296
297,575 Caravelle Farms Rd,"Palatka, FL, 32177","575 Caravelle Farms Rd,Palatka, FL, 32177",29.50941,-81.718873,297
298,223 River Bend Pl Bldg D,"Welaka, FL, 32193","223 River Bend Pl Bldg D,Welaka, FL, 32193",29.465325,-81.684978,298
299,104 Cameilla Dr,"Satsuma, FL, 32189","104 Cameilla Dr,Satsuma, FL, 32189",29.580619,-81.675691,299
300,133 River Bend Pl Bldg E,"Welaka, FL, 32193","133 River Bend Pl Bldg E,Welaka, FL, 32193",29.465135,-81.684367,300
301,223 Hermits Dr,"Satsuma, FL, 32189","223 Hermits Dr,Satsuma, FL, 32189",29.580944,-81.674735,301
302,112 Point South Dr,"Welaka, FL, 32193","112 Point South Dr,Welaka, FL, 32193",29.466673,-81.681436,302
303,151 Moonlite Dr,"Welaka, FL, 32193","151 Moonlite Dr,Welaka, FL, 32193",29.490761,-81.681325,303
304,1013 Front St,"Welaka, FL, 32193","1013 Front St,Welaka, FL, 32193",29.473975,-81.675325,304
305,117 River Bend Pl Bldg C,"Welaka, FL, 32193","117 River Bend Pl Bldg C,Welaka, FL, 32193",29.465583,-81.684845,305
306,104 W Palm Ave,"Crescent City, FL, 32112","104 W Palm Ave,Crescent City, FL, 32112",29.41678,-81.6448,306
307,116 River Bend Pl Bldg C,"Welaka, FL, 32193","116 River Bend Pl Bldg C,Welaka, FL, 32193",29.46562,-81.684788,307
308,248 Whitney St,"Satsuma, FL, 32189","248 Whitney St,Satsuma, FL, 32189",29.538875,-81.695393,308
309,309 Saratoga Dr,"Satsuma, FL, 32189","309 Saratoga Dr,Satsuma, FL, 32189",29.529819,-81.683128,309
310,123 St Johns Ct,"Satsuma, FL, 32189","123 St Johns Ct,Satsuma, FL, 32189",29.576573,-81.678152,310
311,113 River Bend Pl Bldg B,"Welaka, FL, 32193","113 River Bend Pl Bldg B,Welaka, FL, 32193",29.465693,-81.684579,311
312,129 River Bend Pl Bldg E,"Welaka, FL, 32193","129 River Bend Pl Bldg E,Welaka, FL, 32193",29.465115,-81.684644,312
313,164 Beechers Point Dr,"Welaka, FL, 32193","164 Beechers Point Dr,Welaka, FL, 32193",29.467464,-81.684552,313
314,94 Happiness Dr,"Welaka, FL, 32193","94 Happiness Dr,Welaka, FL, 32193",29.491437,-81.678534,314
315,143 Paradise Dr,"Welaka, FL, 32193","143 Paradise Dr,Welaka, FL, 32193",29.491392,-81.680222,315
316,180 Sportsman Dr,"Welaka, FL, 32193","180 Sportsman Dr,Welaka, FL, 32193",29.491248,-81.682037,316
317,206 Sportsman Dr,"Welaka, FL, 32193","206 Sportsman Dr,Welaka, FL, 32193",29.492221,-81.683368,317
318,204 Sportsman Dr,"Welaka, FL, 32193","204 Sportsman Dr,Welaka, FL, 32193",29.492509,-81.683404,318
319,162 Mount Royal Ave,"Crescent City, FL, 32112","162 Mount Royal Ave,Crescent City, FL, 32112",29.432902,-81.650465,319
320,188 Sportsman Dr,"Welaka, FL, 32193","188 Sportsman Dr,Welaka, FL, 32193",29.491974,-81.68225,320
321,232 Sportsman Dr,"Welaka, FL, 32193","232 Sportsman Dr,Welaka, FL, 32193",29.489967,-81.680378,321
322,80 Carefree Dr,"Welaka, FL, 32193","80 Carefree Dr,Welaka, FL, 32193",29.4906,-81.678294,322
323,166 Beechers Point Dr,"Welaka, FL, 32193","166 Beechers Point Dr,Welaka, FL, 32193",29.467389,-81.684768,323
324,311 Saratoga Dr,"Satsuma, FL, 32189","311 Saratoga Dr,Satsuma, FL, 32189",29.529621,-81.683482,324
325,105 Teronda Rd,"Welaka, FL, 32193","105 Teronda Rd,Welaka, FL, 32193",29.465023,-81.67434,325
326,121 Cody Dr,"Satsuma, FL, 32189","121 Cody Dr,Satsuma, FL, 32189",29.584916,-81.679397,326
327,603 Front St,"Welaka, FL, 32193","603 Front St,Welaka, FL, 32193",29.479075,-81.67433,327
328,113 William Bartram Dr,"Crescent City, FL, 32112","113 William Bartram Dr,Crescent City, FL, 32112",29.431948,-81.651411,328
329,241 Sportsman Dr,"Welaka, FL, 32193","241 Sportsman Dr,Welaka, FL, 32193",29.489741,-81.678992,329
330,380 Boys Ranch Rd,"Palatka, FL, 32177","380 Boys Ranch Rd,Palatka, FL, 32177",29.539491,-81.7164,330
331,112 Cameilla Dr,"Satsuma, FL, 32189","112 Cameilla Dr,Satsuma, FL, 32189",29.580588,-81.675069,331
332,468 Cove Dr,"Satsuma, FL, 32189","468 Cove Dr,Satsuma, FL, 32189",29.575813,-81.677612,332
333,237 Hermits Dr,"Satsuma, FL, 32189","237 Hermits Dr,Satsuma, FL, 32189",29.580989,-81.67579,333
334,244 Sportsman Ave,"Welaka, FL, 32193","244 Sportsman Ave,Welaka, FL, 32193",29.489639,-81.678532,334
335,216 River Bend Pl Bldg C,"Welaka, FL, 32193","216 River Bend Pl Bldg C,Welaka, FL, 32193",29.465552,-81.684774,335
336,119 Cameilla Dr,"Satsuma, FL, 32189","119 Cameilla Dr,Satsuma, FL, 32189",29.580116,-81.6751,336
337,206 River Bend Ct Bldg A,"Welaka, FL, 32193","206 River Bend Ct Bldg A,Welaka, FL, 32193",29.465984,-81.684649,337
338,165 Moonlite Dr,"Welaka, FL, 32193","165 Moonlite Dr,Welaka, FL, 32193",29.492395,-81.680758,338
339,112 William Bartram Dr,"Welaka, FL, 32193","112 William Bartram Dr,Welaka, FL, 32193",29.431152,-81.651335,339
340,125 W Palm Ave,"Crescent City, FL, 32112","125 W Palm Ave,Crescent City, FL, 32112",29.417173,-81.647244,340
341,53 Sportsman Dr,"Welaka, FL, 32193","53 Sportsman Dr,Welaka, FL, 32193",29.489739,-81.677816,341
342,133 St Johns Ct,"Satsuma, FL, 32189","133 St Johns Ct,Satsuma, FL, 32189",29.575965,-81.67846,342
343,107 River Bend Ct Bldg A,"Welaka, FL, 32193","107 River Bend Ct Bldg A,Welaka, FL, 32193",29.466047,-81.684567,343
344,118 N Hubers Fish Camp Rd,"Crescent City, FL, 32112","118 N Hubers Fish Camp Rd,Crescent City, FL, 32112",29.430929,-81.647272,344
345,110 Point South Dr,"Welaka, FL, 32193","110 Point South Dr,Welaka, FL, 32193",29.466345,-81.681753,345
346,211 Sportsman Dr,"Welaka, FL, 32193","211 Sportsman Dr,Welaka, FL, 32193",29.491618,-81.682986,346
347,198 Sportsman Dr,"Welaka, FL, 32193","198 Sportsman Dr,Welaka, FL, 32193",29.492509,-81.682551,347
348,117 Teronda Rd,"Welaka, FL, 32193","117 Teronda Rd,Welaka, FL, 32193",29.465673,-81.675827,348
349,227 River Bend Pl Bldg D,"Welaka, FL, 32193","227 River Bend Pl Bldg D,Welaka, FL, 32193",29.46518,-81.68483,349
350,102 Happiness Dr,"Welaka, FL, 32193","102 Happiness Dr,Welaka, FL, 32193",29.492002,-81.678773,350
351,151 Buchanan Cir,"Satsuma, FL, 32189","151 Buchanan Cir,Satsuma, FL, 32189",29.574919,-81.678792,351
352,464 Cove Dr,"Satsuma, FL, 32189","464 Cove Dr,Satsuma, FL, 32189",29.575921,-81.677415,352
353,245 Sportsman Dr,"Welaka, FL, 32193","245 Sportsman Dr,Welaka, FL, 32193",29.489495,-81.678427,353
354,112 Hicks Ave,"Crescent City, FL, 32112","112 Hicks Ave,Crescent City, FL, 32112",29.416084,-81.645277,354
355,270 Hermits Dr,"Satsuma, FL, 32189","270 Hermits Dr,Satsuma, FL, 32189",29.580338,-81.677973,355
356,1074 Front St,"Welaka, FL, 32193","1074 Front St,Welaka, FL, 32193",29.466119,-81.672716,356
357,225 Sportsman Dr,"Welaka, FL, 32193","225 Sportsman Dr,Welaka, FL, 32193",29.490246,-81.681459,357
358,189 Sportsman Dr,"Welaka, FL, 32193","189 Sportsman Dr,Welaka, FL, 32193",29.491887,-81.682076,358
359,599 Stokes Landing Rd ,"Palatka, FL, 32177","599 Stokes Landing Rd ,Palatka, FL, 32177",29.571792,-81.699609,359
360,19 Scott St,"Welaka, FL, 32193","19 Scott St,Welaka, FL, 32193",29.489599,-81.676702,360
361,81 Carefree Dr,"Welaka, FL, 32193","81 Carefree Dr,Welaka, FL, 32193",29.490465,-81.678352,361
362,131 River Bend Pl Bldg E,"Welaka, FL, 32193","131 River Bend Pl Bldg E,Welaka, FL, 32193",29.465127,-81.684515,362
363,132 Paradise Dr,"Welaka, FL, 32193","132 Paradise Dr,Welaka, FL, 32193",29.492486,-81.679316,363
364,224 River Bend Pl Bldg D,"Welaka, FL, 32193","224 River Bend Pl Bldg D,Welaka, FL, 32193",29.46528,-81.684943,364
365,102 River Bend Ct Bldg A,"Welaka, FL, 32193","102 River Bend Ct Bldg A,Welaka, FL, 32193",29.466111,-81.68487,365
366,137 Buchanan Cir,"Satsuma, FL, 32189","137 Buchanan Cir,Satsuma, FL, 32189",29.573565,-81.678783,366
367,136 Floridian Club Rd,"Welaka, FL, 32193","136 Floridian Club Rd,Welaka, FL, 32193",29.492437,-81.677057,367
368,221 Woodbury Trl,"Satsuma, FL, 32189","221 Woodbury Trl,Satsuma, FL, 32189",29.589028,-81.6814,368
369,106 Cameilla Dr,"Satsuma, FL, 32189","106 Cameilla Dr,Satsuma, FL, 32189",29.580747,-81.675477,369
370,230 River Bend Pl Bldg E,"Welaka, FL, 32193","230 River Bend Pl Bldg E,Welaka, FL, 32193",29.465039,-81.684593,370
371,121 Cameilla Dr,"Satsuma, FL, 32189","121 Cameilla Dr,Satsuma, FL, 32189",29.579994,-81.675054,371
372,221 Hermits Dr,"Satsuma, FL, 32189","221 Hermits Dr,Satsuma, FL, 32189",29.580838,-81.674602,372
373,213 River Bend Pl Bldg B,"Welaka, FL, 32193","213 River Bend Pl Bldg B,Welaka, FL, 32193",29.465676,-81.684499,373
374,233 Sportsman Dr,"Welaka, FL, 32193","233 Sportsman Dr,Welaka, FL, 32193",29.48996,-81.680216,374
375,85 Sportsman Dr,"Welaka, FL, 32193","85 Sportsman Dr,Welaka, FL, 32193",29.490319,-81.679144,375
376,110 National Forest Rd 29,"Palatka, FL, 32177","110 National Forest Rd 29,Palatka, FL, 32177",29.424121,-81.66473,376
377,105 River Bend Ct Bldg A,"Welaka, FL, 32193","105 River Bend Ct Bldg A,Welaka, FL, 32193",29.466055,-81.684667,377
378,14 Hockey Dr,"Welaka, FL, 32193","14 Hockey Dr,Welaka, FL, 32193",29.489596,-81.675909,378
379,163 Mount Royal Ave,"Crescent City, FL, 32112","163 Mount Royal Ave,Crescent City, FL, 32112",29.432913,-81.651128,379
380,150 Beechers Point Ave,"Welaka, FL, 32193","150 Beechers Point Ave,Welaka, FL, 32193",29.467608,-81.683455,380
381,143 Buchanan Cir,"Satsuma, FL, 32189","143 Buchanan Cir,Satsuma, FL, 32189",29.574179,-81.679063,381
382,111 W Palm Ave,"Crescent City, FL, 32112","111 W Palm Ave,Crescent City, FL, 32112",29.416647,-81.645644,382
383,135 River Bend Pl Bldg E,"Welaka, FL, 32193","135 River Bend Pl Bldg E,Welaka, FL, 32193",29.465122,-81.684266,383
384,218 River Bend Pl Bldg C,"Welaka, FL, 32193","218 River Bend Pl Bldg C,Welaka, FL, 32193",29.465506,-81.684892,384
385,223 Sportsman Dr,"Welaka, FL, 32193","223 Sportsman Dr,Welaka, FL, 32193",29.490333,-81.681731,385
386,222 River Bend Pl Bldg E,"Welaka, FL, 32193","222 River Bend Pl Bldg E,Welaka, FL, 32193",29.465438,-81.685086,386
387,124 Hicks Ave,"Crescent City, FL, 32112","124 Hicks Ave,Crescent City, FL, 32112",29.41657,-81.64674,387
388,194 Sportsman Dr,"Welaka, FL, 32193","194 Sportsman Dr,Welaka, FL, 32193",29.492391,-81.681941,388
389,236 River Bend Pl Bldg E,"Welaka, FL, 32193","236 River Bend Pl Bldg E,Welaka, FL, 32193",29.465051,-81.684252,389
390,245 Hermits Dr,"Satsuma, FL, 32189","245 Hermits Dr,Satsuma, FL, 32189",29.580743,-81.67638,390
391,130 River Bend Pl Bldg E,"Welaka, FL, 32193","130 River Bend Pl Bldg E,Welaka, FL, 32193",29.465107,-81.684582,391
392,103 Teronda Rd,"Welaka, FL, 32193","103 Teronda Rd,Welaka, FL, 32193",29.465188,-81.673976,392
393,139 Buchanan Cir,"Satsuma, FL, 32189","139 Buchanan Cir,Satsuma, FL, 32189",29.573784,-81.678832,393
394,1074 Front St Lot 31,"Welaka, FL, 32193","1074 Front St Lot 31,Welaka, FL, 32193",29.466119,-81.672716,394
395,128 Beechers Point Dr,"Welaka, FL, 32193","128 Beechers Point Dr,Welaka, FL, 32193",29.468386,-81.681626,395
396,24 Scott St,"Welaka, FL, 32193","24 Scott St,Welaka, FL, 32193",29.490267,-81.676754,396
397,166 Mount Royal Ave,"Crescent City, FL, 32112","166 Mount Royal Ave,Crescent City, FL, 32112",29.432323,-81.650562,397
398,456 Cove Dr,"Satsuma, FL, 32189","456 Cove Dr,Satsuma, FL, 32189",29.576284,-81.676935,398
399,263 Hermits Dr,"Satsuma, FL, 32189","263 Hermits Dr,Satsuma, FL, 32189",29.579817,-81.67732,399
400,100 Cameilla Dr,"Satsuma, FL, 32189","100 Cameilla Dr,Satsuma, FL, 32189",29.580569,-81.675968,400
401,249 Hermits Dr,"Satsuma, FL, 32189","249 Hermits Dr,Satsuma, FL, 32189",29.580576,-81.676352,401
402,226 Sportsman Dr,"Welaka, FL, 32193","226 Sportsman Dr,Welaka, FL, 32193",29.490121,-81.681232,402
403,219 Hermits Dr,"Satsuma, FL, 32189","219 Hermits Dr,Satsuma, FL, 32189",29.580696,-81.674522,403
404,156 Mount Royal Ave,"Crescent City, FL, 32112","156 Mount Royal Ave,Crescent City, FL, 32112",29.433711,-81.651098,404
405,107 William Bartram Dr,"Crescent City, FL, 32112","107 William Bartram Dr,Crescent City, FL, 32112",29.431703,-81.650311,405
406,181 Sportsman Dr,"Welaka, FL, 32193","181 Sportsman Dr,Welaka, FL, 32193",29.491368,-81.682137,406
407,119 St Johns Ct,"Satsuma, FL, 32189","119 St Johns Ct,Satsuma, FL, 32189",29.576703,-81.677895,407
408,132 River Bend Pl Bldg E,"Welaka, FL, 32193","132 River Bend Pl Bldg E,Welaka, FL, 32193",29.465119,-81.684453,408
409,225 River Bend Pl Bldg D,"Welaka, FL, 32193","225 River Bend Pl Bldg D,Welaka, FL, 32193",29.465254,-81.684886,409
410,203 River Bend Ct Bldg A,"Welaka, FL, 32193","203 River Bend Ct Bldg A,Welaka, FL, 32193",29.46601,-81.684817,410
411,1074 Front St Lot 19,"Welaka, FL, 32193","1074 Front St Lot 19,Welaka, FL, 32193",29.466119,-81.672716,411
412,174 River Bend Pl Bldg D,"Welaka, FL, 32193","174 River Bend Pl Bldg D,Welaka, FL, 32193",29.466034,-81.684871,412
413,248 Sportsman Dr,"Welaka, FL, 32193","248 Sportsman Dr,Welaka, FL, 32193",29.489285,-81.67809,413
414,115 St Johns Ct,"Satsuma, FL, 32189","115 St Johns Ct,Satsuma, FL, 32189",29.576985,-81.677632,414
415,208 River Bend Ct Bldg A,"Welaka, FL, 32193","208 River Bend Ct Bldg A,Welaka, FL, 32193",29.465977,-81.684549,415
416,18 Scott St,"Welaka, FL, 32193","18 Scott St,Welaka, FL, 32193",29.489378,-81.676684,416
417,127 River Bend Ct Bldg A,"Welaka, FL, 32193","127 River Bend Ct Bldg A,Welaka, FL, 32193",29.465192,-81.684745,417
418,7 Hockey Dr,"Welaka, FL, 32193","7 Hockey Dr,Welaka, FL, 32193",29.490477,-81.675769,418
419,11 Hockey Dr,"Welaka, FL, 32193","11 Hockey Dr,Welaka, FL, 32193",29.490005,-81.675888,419
420,116 Paradise Dr,"Welaka, FL, 32193","116 Paradise Dr,Welaka, FL, 32193",29.490528,-81.680256,420
421,159 Beechers Point Dr,"Welaka, FL, 32193","159 Beechers Point Dr,Welaka, FL, 32193",29.46711,-81.68398,421
422,130 Woodbury Trl,"Satsuma, FL, 32189","130 Woodbury Trl,Satsuma, FL, 32189",29.590468,-81.68275,422
423,203 River Bend Pl Bldg B,"Welaka, FL, 32193","203 River Bend Pl Bldg B,Welaka, FL, 32193",29.466002,-81.684811,423
424,104 Point South Dr,"Welaka, FL, 32193","104 Point South Dr,Welaka, FL, 32193",29.465905,-81.683213,424
425,205 River Bend Ct Bldg A,"Welaka, FL, 32193","205 River Bend Ct Bldg A,Welaka, FL, 32193",29.465988,-81.684699,425
426,115 River Bend Pl Bldg C,"Welaka, FL, 32193","115 River Bend Pl Bldg C,Welaka, FL, 32193",29.46563,-81.684726,426
427,84 Sportsman Dr,"Welaka, FL, 32193","84 Sportsman Dr,Welaka, FL, 32193",29.49009,-81.67859,427
428,275 Hermits Dr,"Satsuma, FL, 32189","275 Hermits Dr,Satsuma, FL, 32189",29.580757,-81.676384,428
429,129 River Rd,"Satsuma, FL, 32189","129 River Rd,Satsuma, FL, 32189",29.529099,-81.682568,429
430,202 Buckman Lock Rd,"Palatka, FL, 32177","202 Buckman Lock Rd,Palatka, FL, 32177",29.54793,-81.72641,430
431,120 River Bend Pl Bldg C,"Welaka, FL, 32193","120 River Bend Pl Bldg C,Welaka, FL, 32193",29.465533,-81.684982,431
432,234 Sportsman Dr,"Welaka, FL, 32193","234 Sportsman Dr,Welaka, FL, 32193",29.489989,-81.680054,432
433,239 Sportsman Dr,"Welaka, FL, 32193","239 Sportsman Dr,Welaka, FL, 32193",29.48993,-81.679267,433
434,123 Cameilla Dr,"Satsuma, FL, 32189","123 Cameilla Dr,Satsuma, FL, 32189",29.579881,-81.674991,434
435,141 Buchanan Cir,"Satsuma, FL, 32189","141 Buchanan Cir,Satsuma, FL, 32189",29.573948,-81.678929,435
436,155 Beechers Point Dr,"Welaka, FL, 32193","155 Beechers Point Dr,Welaka, FL, 32193",29.46718,-81.683623,436
437,157 Pine Tree Rd,"Palatka, FL, 32177","157 Pine Tree Rd,Palatka, FL, 32177",29.588898,-81.696349,437
438,108 Hicks Ave,"Crescent City, FL, 32112","108 Hicks Ave,Crescent City, FL, 32112",29.415907,-81.644661,438
439,100 Gumps Pl,"Palatka, FL, 32177","100 Gumps Pl,Palatka, FL, 32177",29.487784,-81.791281,439
440,233 River Bend Pl Bldg E,"Welaka, FL, 32193","233 River Bend Pl Bldg E,Welaka, FL, 32193",29.46507,-81.684403,440
441,237 Whitney St,"Satsuma, FL, 32189","237 Whitney St,Satsuma, FL, 32189",29.537899,-81.692512,441
442,245 Whitney St,"Satsuma, FL, 32189","245 Whitney St,Satsuma, FL, 32189",29.537952,-81.69346,442
443,1 Boston St,"Welaka, FL, 32193","1 Boston St,Welaka, FL, 32193",29.48476,-81.674372,443
